screen_name,description
thebeatles,
Caradelevingne,EMBRACE YOUR WEIRDNESS! I am unprofessionally professional human being. Eyebrow and life enthusist. Instagram @caradelevingne STOP LABELING! START LIVING
willianborges88,jogador do Chelsea FC - football player (Chelsea FC)
LittleMix,Our new single #Hair ft. Sean Paul is OUT NOW: http://smarturl.it/LMHairIT
Metallica,http://metallica.com | http://livemetallica.com
lorde,there's a darkness on the edge of town
jasonderulo,My Platinum Hits album featuring 11 of your favorite platinumz + brand new single  #KissTheSky is out now! Download it here:
OneRepublic,"Ryan Tedder, Brent Kutzle, Eddie Fisher, Drew Brown, Zach Filkins. New single, KIDS, out now: http://smarturl.it/KIDS_1R"
TheRealStanLee,"Stan Lee, Co-Creator of Spider-Man, Iron Man, Hulk, X-Men, etc."
CodySimpson,son of neptune.. this guitar has seconds to live! peace on earth
VincentKompany,proud captain of @MCFC and the @BelRedDevils - @BXBrussels believer and international SOS Children's Villages ambassador
aaronramsey,Welsh international and @Arsenal midfielder. Instagram - http://Instagram.com/aaronramsey
JackWilshere,Professional footballer for @Arsenal and @England. @NikeUK athlete. Proud father to son Archie and daughter Delilah. Instagram: JackWilshere
VANS_66,The official Vans Twitter. Also check out: @vansskate @vanssurf @vansbmx66 @vanssnow @vansgirls & Snapchat: vans #Since66
Imaginedragons,@DanReynolds @benamckee @WayneSermon @DanielPlatzman | get Smoke + Mirrors live DVD here: http://imaginedragons.lnk.to/FAN
PhilJones4,Official Twitter account of Phil Jones.                                                       @ManUtd & @adidasUK athlete. http://facebook.com/PJ4Official
WBHomeEnt,The Official Warner Bros. Home Entertainment Group Twitter
SamNasri19,Official Twitter Midfield Player Manchester City Football Club
GreenDay,Official #GreenDay Twitter account.  Pre-Order the new Green Day album ‘Revolution Radio’ and get the song #bangbang at http://www.greenday.com/revolutionradio
tumblr,Go wherever Tumblr takes you. / Questions? http://tumblr.com/help
19SCazorla,Player at Arsenal FC and Spanish Football Team
bellathorne,"animals, food, and snapchat.. welcome to my world I'm sweet & salty ;) hell yeah. oh and you guys ??"
steveaustinBSR,"Broken Skull Ranch
http://brokenskullranch.com"
IanMcKellen,actor and activist
dcshoes,
TripleH,"14-Time World Champion. EVP Talent, Live Events & Creative @WWE. Whether in the office or playing a bad guy on TV, I always do what’s #BestForBusiness."
JB17Official,Footballer - @FCBayern and @DFB_Team Instagram - http://instagram.com/jeromeboateng
Oficial_RC3,Diretor de relações institucionais do Real Madrid. Embaixador na Ásia e Oceania. Representante na UEFA Youth League e mentor das categorias de base.
dimitrivegas,Stay A While Out Now - Grab your Copy on http://lnk.to/StayAWhile
pablo_zabaleta,"Cuenta Oficial de Pablo Zabaleta, jugador del Manchester City. Ex de San Lorenzo de Almagro, RCD Espanyol."
Alesso,telegram +12137605888
SoundCloud,"SoundCloud is an audio platform that lets you listen to what you love and share the sounds you create. 

Need help? Tweet @SCsupport."
MarcBartra,Football Player | @BVB & @SeFutbol . Facebook & Instagram: @marcbartra
pewdiepie,on a self hate mission to cleanse youtube for my sins
starwars,The official home of Star Wars on Twitter.
PaulMcCartney,New #OneOnOne tour / The career-spanning collection #PureMcCartney is out now / Official #PaulMcCartney Twitter administered by [MPL]
adidasUS,Official Twitter account of adidas America. Follow us for exciting updates and information on adidas athletes and products.
matshummels,Official Account of Mats Hummels - German Football Player
NickelodeonTV,"The Official Twitter for Nickelodeon, USA! http://at.nick.com/snapchat"
kevinjonas,chasing the story
iTunes,All the ways you love music. All in one place. Join us @AppleMusic and @Beats1.
MarkRuffalo,"I'm a husband, father, actor, director, and a climate change advocate with an eye on a better, brighter, cleaner, more hopeful future for all of us."
Zendaya,"Yo, Simplexity is key."
XGames,Spreading the shred in action sports since 1995. 
samsmithworld,It is always going to be about love
_OlivierGiroud_,Je suis né le 30 septembre 1986 à Chambéry. Footballeur international français. Attaquant d'Arsenal FC
beatsbydre,United by sound. Click here to rep your country with #BeatsUnity headphones NOW:
AdrianaLima,http://www.facebook.com/adrianalima
gamespot,"The official GameSpot account. Follow us for the latest updates on video game reviews, news, live streams, giveaways and more!"
GameOfThrones,Tweet what is yours. #GameofThrones Season 6 premieres 4.24.16.
carras16,"Official Twitter account of Michael Carrick, Manchester United Footballer"
Alex_OxChambo,Professional footballer for Arsenal FC and an England International. @NikeUK athlete #TheOX  http://www.alexoxladechamberlain.com/
ctello91,"Sabadell, España, 11 de agosto de 1991. Futbolista, extremo. contact@cristiantello.es http://facebook.com/cristiantello91 http://Instagram.com/ctello91"
Rami7oficial,Twitter oficial do jogador do Jiangsu Suning / Official Twitter account of Jiangsu's player http://Instagram.com/rami7oficial http://facebook.com/rami7oficial
twhiddleston,Actor.
WWEUniverse,"Official Twitter account of the WWE Universe, worldwide fans of World Wrestling Entertainment (@WWE), featuring WWE event coverage, RTs, memes, Q&A and more!"
HUGOBOSS,The official Twitter Account of HUGO BOSS.
gunsnroses,"G N' R - an American Rock Band formed in 1985 in Los Angeles, CA. Get on the NIGHTRAIN http://bit.ly/GNRNOW"
JordiAlba,"Cuenta oficial del jugador del @FCBarcelona y de la @SEFutbol
Official account of the @FCBarcelona and @SEFutbol player"
EdDzeko,Footballer of AS Roma and Captain of Bosnian National team
Fellaini,"Official twitter of Marouane Fellaini, Professional football player @ManUtd and @BelRedDevils (National Belgian Team), @Cap_48 Ambassador"
Iron_Man,"Genius, billionaire, playboy, philanthropist."
FastFurious,Vengeance hits home.
England,"The official feed of the #ENG football teams, with breaking news updates, videos and images. #TogetherForEngland | #ThreeLions | #Lionesses | #YoungLions "
ThierryHenry,Amateurs call it genius. Masters call it practice.
NVIDIAGeForce,"NVIDIA GeForce: graphics cards (GPUs), games and more"
Axwell,Ushuaia residency 2016 
officialjaden,
kingarturo23,"Official account of Arturo Vidal, Bayern Munich and Chilean National Team Player."
MicrosoftEdge,"The official Twitter handle for Microsoft Edge, the new browser from Microsoft."
pumafootball,#ForeverFaster
DanielSturridge,"Pro football player for @liverpoolfc @NikeUK athlete @sainsburys http://Facebook.com/DanSturridge Instagram @danielsturridge
http://www.danielsturridge.net"
llorentefer19,Swansea City AFC player https://www.facebook.com/fernandollorente.es Instagram: @llorente_fer info@fernandollorente.es
Luke5SOS,Sounds Good Feels Good out now :-)
bridgitmendler,"Hi, I'm Bridgit Mendler :) New song Atlantis is out now!! "
thibautcourtois,Official Twitter of Thibaut Courtois Goalkeeper of Chelsea FC and Belgian Red Devils
ShawnMichaels,This is the official Twitter for the real Shawn Michaels. Be sure to follow for my latest news....
paulpogba,The Official Paul Labile Pogba Twitter account. Proud to represent @adidasfootball across the world!
adamlevine,man in a suitcase.
rolandgarros,Roland Garros / French Open / Internationaux de France / Roland Garros 2017 : From Monday 22 May to Sunday 11 June. #RG17 #RolandGarros
DisneyAnimation,"Our 55th animated feature, Zootopia, is now available on Blu-ray, Digital HD & Disney Movies Anywhere!"
SEGA,ESRB Rating: RATING PENDING to MATURE. May contain content inappropriate for children. Visit http://www.esrb.org for rating information.
Battlefield,Dedicated to the 20 million Battlefield players everywhere. Join us on the Battlefield - http://Battlefield.com.
marcosrojo5,Bienvenidos a la página oficial de Marcos Rojo en Twitter.
Javi8martinez,"Twitter oficial de Javi Martinez, jugador del FC Bayern / This is the official Twitter page of Javi Martinez, FC Bayern München player."
iCarly,This is the official Twitter for iCarly!
applenws,#AppleNews: Latest news about #Apple ( #iPhone) . We are not related with Apple® .
SpiderAnderson,Bem-vindo ao perfil oficial de Anderson Silva. O maior lutador de MMA de todos os tempos. Mande o seu recado para o Spider. Oosss
SpursOfficial,"Welcome to the official Twitter account of Tottenham Hotspur Football Club.
@SpursOfficial
@Spurs_ES
@Spurs_India
@Spurs_THA
@Spurs_MAS
@Spurs_ID
#COYS"
dante_bonfim,"The official twitter account of Dante, professional football player at OGC Nice. Twitter oficial do zagueiro Dante do OGC Nice."
CaptainAmerica,"The official account for all things @Marvel's Captain America. See #CaptainAmericaCivilWar, coming home on Digital HD & @DisneyAnywhere 9/2 and on Blu-ray 9/13."
ultra,The only OFFICIAL twitter account for ULTRA MUSIC FESTIVAL – the world’s premier electronic music festival
RvN1776,"Facebook/Ruudvannistelrooy
Instagram: RVNISTELROOY"
Treyarch,This is the official Treyarch Studios Twitter account and the birthplace of Call of Duty's Zombies. Recently launched Call of Duty: Black Ops 3 (PS4/XB1/PC).
9GAG,Officially 9GAG. Follow us for LOL. get our app on http://9gag.com/mobile
prattprattpratt,"laughing with you, not at you."
InfinityWard,"Official Twitter account for Infinity Ward, a developer of Call of Duty. Send cheater reports to @ATVIAssist"
Ingrosso,Ushuaia residency 2016 
nachofi1990,@RealMadrid Football Player. http://Instagram.com/nachofdez90
WWEDanielBryan,"Professional wrestler, King of Beards, overall swell guy"
Avicii,
Robinho,"Twitter oficial de Robson de Souza, jogador da Seleção Brasileira de Futebol e do Clube Atlético Mineiro . Saiba o que faz e pensa o Robinho, o pedalada!"
vdsar1970,"Husband, Dad, director @AFCAjax, Football,@vdsarfoundation, Friends and @ManUtd"
Michael5SOS,i play in a band. so do other people in my band
ClaroBrasil,Seja bem-vindo! Vem ser gigante. ;-)
Spotify,"Music for every moment. Play, discover, and share for free. 
Need support? We're happy to help at @SpotifyCares"
driveSRT,NOTE: This account is now inactive. Follow @Dodge and @DodgeViperUSA for continued SRT news.
Twitch,"Twitch is the world's leading video platform and community for gamers. For support, please contact @TwitchSupport."
IAmJericho,"26 years of maximum tomfoolery.
http://Instagram.com/chrisjerichofozzy
http://Podcastone.com/Talk-Is-Jericho
'I'm not God...God's taller.' -Lemmy"
NikeRunning,"Helping athletes everywhere run their first, funnest, and fastest miles. Welcome to the Nike+ Run Club. #NRC"
Calum5SOS,Bassist in 5 Seconds of Summer.
NintendoAmerica,"Welcome to the official Nintendo profile for gaming news! We’re listening, too. For ESRB ratings go to http://esrb.org"
MTVMusicUK,Official Twitter for MTV Music UK. First for music. Sky 350 / Virgin 310.
bundesliga_de,DFL Deutsche Fußball Liga GmbH | #Bundesliga | http://bundesliga.de/de/impressum/ | English: @bundesliga_EN | Español: @bundesliga_ES | http://instagram.com/bundesliga_en/
AntoGriezmann,Futbolista profesional / Footballeur professionnel de l'@atleti et de l'@equipedefrance #TeamGrizi http://Instagram.com/AntoGriezmann
MTVUK,The official Twitter account for MTV UK Snapchat: mtvuk ?
CBF_Futebol,OFICIAL - Twitter da Confederação Brasileira de Futebol
MickJagger,Mick Jagger's official twitter page.
ChiliPeppers,New album The Getaway available now! http://smarturl.it/thegetawayrhcp
likemike,modern day philosopher
SeppBlatter,
macklemore,OFFICIAL MUSIC VIDEO: DANCE OFF FEATURING IDRIS ELBA
KPBofficial,Prince Boateng
OfficialEl92,Official Account of Stephan El Shaarawy Football striker of AS Roma & Italian National Team #EL92
iTunesMovies,Movies that move you.
mertesacker,The official Twitter-Account of Per Mertesacker (Arsenal FC)
paramore,We are Paramore.
AngelAlessandra,Victoria's Secret Angel
David_Alaba,#da27 | Meine Kraft liegt in Jesus | Snapchat: da_twentyseven | http://da27store.com
WWETheBigShow,The pound-for-pound World's Largest Athlete is a feared competitor who can intimidate a WWE opponent with his size and stare alone.
WWESheamus,4x WWE World Heavyweight Champion #TheCelticWarrior #TMNT2 #Rocksteady... The Man with a snow white tan. #BestOf7
RobertsEmma,
adidasUK,Official Twitter account for adidas UK.
pinkfloyd,Pink Floyd is one of the most successful and influential rock groups in history.
WalkingDead_AMC,"The official handle for #TheWalkingDead on @AMC_TV. #TWD Returns Sunday, October 23 at 9|8c."
lucyhale,I drink too much coffee and laugh too loud.
DebbyRyan,Previously in childcare
LGustavo_22,DéF
nervomusic,Top 100 DJ's #VOTENERVO : http://bit.ly/Vote_NERVO
theowalcott,"Professional footballer.  Arsenal FC, England.
http://www.facebook.com/TheoWalcott"
AnderHerrera,2014- Present Manchester United / 2011- 2014 Athletic Club / 2001- 2011 Real Zaragoza
DFB_Team,"Offizieller Account von #DieMannschaft. English: @DFB_Team_EN. Español: @DFB_Team_ES
 Impressum: http://bit.ly/TYm2jQ"
ParamountUK,"Movie news in 140 characters (or less).  #StarTrekBeyond (in cinemas now), #BenHur (Sep 7), #JackReacher: Never Go Back (Oct 21), #Rings (Oct 31) #Allied (Nov)."
SteveAngello,Wild Youth Out Now: http://smarturl.it/Wild-Youth
DaniloGentili,Desde 1979 estragando tudo e decepcionando pessoas.
TaioCruz,Pronounced (Tie O) Contact: bookings@taiocruz.com / Download and Follow me on Kewe. http://Kewe.co
Renner4Real,Official twitter account for actor Jeremy Renner
UEFAEURO,The official home of UEFA EURO on Twitter. (@EURO2016: official French language account)
m8arteta,Official account | Cuenta oficial                                      Instagram: @mikelarteta
iTunesTV,Discover great TV shows.
setoo9,Welcome to the official Twitter account of Samuel Eto'o. Professional football player of Antalyaspor
NikeStoreEurope,Your online provider for Nike products in Europe.
camerondallas,Snapchat - CameronDallas Instagram - CameronDallas YouTube - TheeCameronDallas Vine - CameronDallas
ATPWorldTour,"#ATP is the governing body of the men's professional tennis circuits - the @ATPWorldTour, the @ATPChallenger Tour and the @ATPChampions Tour."
g1,O portal de notícias da Globo
Peugeot,Motion & Emotion
filipeluis,Brasileiro @Atleti player. // FB: http://www.facebook.com/filipeluis03 // Snapchat: filipelk // IN: http://Instagram.com/filipeluis
OfficialPagani,The official Pagani Automobili twitter channel
ShawnMendes,Hogwarts graduate. Full time wizard now. #PreorderIlluminateOniTunes + #ShawnWorldTour tickets at: http://shawnmendesofficial.com
thomasvermaelen,"The Official Twitter account of Thomas Vermaelen, player of AS Roma"
reymysterio,??? ? ?? ??????
LizGillies,Sex&Drugs&Rock&Roll airs Thursday nights at 10 PM on FX
SergiRoberto10,?? FCBarcelona || Snapchat/Instagram : Sergiroberto
Victorious,The OFFICIAL Twitter for Victorious!
Alexis_Sanchez,Jugador del @Arsenal y de la Selección Chilena de Fútbol. / @Arsenal and Chilean National team player. Official Account
TheXFactorUSA,Veteran judges Sharon and Louis are BACK! The new season of XFactor UK premieres August 28 on @AXSTV: http://bit.ly/1iQDXHU.
TeamMessi,The official twitter account of Team Messi - a global fan movement founded by adidas to celebrate everything Messi.
NeedforSpeed,"Rich customization, authentic urban car culture, a nocturnal open world, and an immersive narrative.

ESRB Rating: TEEN with Language and Mild Violence"
foofighters,
ivetesangalo,Twitter Oficial da cantora brasileira Ivete Sangalo. Twitter atualizado pela própria Ivete e pela equipe do seu site.
chiellini,Gioco a calcio nella Juventus e nella Nazionale Italiana. La mia passione? La tecnologia!!!
giseleofficial,Welcome to Gisele Bündchen's official profile! Also visit http://www.facebook.com/Gisele http://www.instagram.com/gisele
gameinformer,"The world's largest video game magazine. Check us out in print and online for the latest news, previews, reviews, podcasts and more."
SouthPark,"ALL-NEW EPISODES of South Park premiere Wednesday, Sept. 14th @ 10p on Comedy Central!"
RondaRousey,
AJBrooks,"Adorably evil writer, animal avenger, 3x WWE Divas Champion, and foulmouthed gamer (who does not have Instagram or Facebook)"
Sia,i am sia i was born from the bumhole of a unicorn named steve. get This Is Acting http://smarturl.it/iThisIsActing?IQid=t sia on tour: http://siamusic.net/tour
BonJovi,This House Is Not For Sale out now!
ninadobrev,Where ever you go... there you are.  Going day by day... so let's see where it takes me! Namaste.
brazuca,"I'm @brazuca, official match ball of the 2014 FIFA #WorldCup. The #WorldCup is over and my journey is now complete. Follow @adidasfootball for more!"
LucianoHuck,tv host and curious / apresentador de tv e curioso
Aerosmith,Aerosmith is America's Greatest Rock N' Roll Band.
LuisFigo,"Former football player for @Sporting_CP, @FCBarcelona, @realmadrid, @Inter and Portugal."
sterling7,Professional footballer for Manchester City F.C and England. @NikeUK - http://www.instagram.com/ http:// @vitadelusso
E3,The Official Electronic Entertainment Expo Twitter. Follow @RichatESA for more E3 news and announcements.
dembabafoot,"Y a-t-il d'autre récompense pour le bien, que le bien? [55:60]"
HEELZiggler,"stand up comic.
i wrestle to pay the bills. 
oh & former WWE World Heavyweight Champion (again) whatevs"
HomerJSimpson,Official Twitter for Homer Simpson.
PetrCech,"Professional Footballer. Arsenal FC, Czech Republic."
psy_oppa,#7thALBUM on iTunes http://smarturl.it/PSY_7THALBUM #DADDY M/V on YouTube http://youtu.be/FrG4TEcSuRg #NapalBaji M/V on YouTube http://youtu.be/tF27TNC_4pc
chrishemsworth,Official Twitter of Chris Hemsworth
thorofficial,"The official account for @Marvel's Thor. Marvel's “Thor: Ragnarok,” hitting theaters November 3, 2017."
MR11ok,"Maxi Rodríguez, tengo 35 años nací en Rosario (ARG). Actualmente jugador de Newell's Old Boys"
RedeGlobo,Perfil oficial da Globo.
msleamichele,"Actor, singer, author. Louder: Available on iTunes, Scream Queens, You First: available here: http://bit.ly/leayoufirst"
VEJA,"Notícias, análises, blogs, vídeos. Acompanhe também no Facebook (http://facebook.com/veja)"
EmilyOsment,Debaser.
NavasKeylor,"Cuenta Oficial. Guardameta Real Madrid CF. Mundialista Costa Rica, Brasil 2014."
Razer,Razer - For Gamers. By Gamers. Entertainment Devices and Software For Gamers Worldwide.
StephMcMahon,"Chief Brand Officer @WWE, TV villain, philanthropist, public speaker, fitness enthusiast & mom of 3 daughters. #WelcomeToTheQueendom"
ClaudiaLeitte,Brazilian Singer/ Snap: ClaudiaLeitte
LucasMoura7,"JESUS é o caminho, a verdade e a vida! / JESUS is the way, and the truth, and the life! João/John 14:6 contato@4comm.com.br"
Rafinha,Jugador del FC Barcelona - info@rafinhaalcantara.es Instagram: rafinhaaa93
ParamountMovies,The latest on all Paramount Pictures Blu-ray & Digital HD releases!                    http://Instagram.com/paramountmovies                   & http://FB.com/paramountmovies
MarioMandzukic9,Officiall twitter Account from Mario Mandzukic!
IronMaiden,The Official Iron Maiden Twitter feed.
CesarAzpi,Twitter oficial del jugador del @ChelseaFC y de la selección española / Official Twitter account of Chelsea's & @sefutbol player http://Instagram.com/cesarazpi/
DrakeBell,Business Inquiries: bookings@drakebell.com || Peak Performance is Meditation in Motion
SabrinaSato,A SORRIR EU PRETENDO LEVAR A VIDA...
realwbonner,Sobretudo tio.
ClaMarchisio8,"Centrocampista della Juventus e della nazionale italiana. Sposato con Roberta, papà di Davide e Leonardo."
Bungie,Official news and updates from the developers of Destiny. You should also follow @BungieHelp if you seek Player Support.
fizzer18,@NikeUK athlete ex man utd and everton player
PReina25,Cuenta oficial de Pepe Reina
BellaTwins,Philanthropists. Empowered Women. Total Divas. Divas Champions. Longest Reigning Divas Champion. IG thenikkibella thebriebella birdiebeebrand
youngy18,@ManUtd and England footballer. Instagram: http://www.instagram.com/youngy_18
AshBenzo,Instagram - itsashbenzo snapchat - benzo33
KarlLagerfeld,The official Twitter page for the world of Karl Lagerfeld.
marcosmion,Twitter Oficial Marcos Mion
rafvdvaart,Welcome to my official Twitter page. Player of HSV. This is where I will keep you up to date with my life!
WandWmusic,W&W Dutch DJ/Producers duo consisting of Willem van Hanegem & Ward van der Harst known for their big room sound.
R13_official,"The official twitter account of Rafinha, professional football player at FC Bayern München. Twitter oficial do lateral-direito Rafinha do FC Bayern München."
ASUS,"Official ASUS Twitter. Get the scoop on products, updates and contests. You can also ask us your questions at http://facebook.com/asus"
showdavida,"Este é o twitter oficial do Fantástico, da TV Globo. Aqui você vai ficar por dentro dos bastidores e novidades do programa e do site."
Snapchat,Need help? Tweet @snapchatsupport
lemondefr,Bienvenue sur le compte officiel des rédactions du Monde | Piloté par @vengeurmask @martelclem @iiiiide et @marieslavicek | Suivez-nous sur Snapchat : lemondefr
adidas_ES,"Cuenta oficial de Twitter para adidas España: información de lanzamientos de productos, eventos, promociones y de todo lo referente a atletas y clubes adidas"
MarceloTas,Snap: MarceloTasReal
tictac,"Welcome to the Official Twitter Page for the Tic Tac®!
Like us on FB: https://www.facebook.com/TicTac 
Follow us on Instagram: http://instagram.com/tictacglobal"
R3HAB,"Vote R3HAB for the DJ MAG :-)
http://bit.ly/vote-r3hab-2016"
charli_xcx,**CHARLI'S ANGELS**ANGEL POWER**i LOVE YOU ALL**
HulkHogan,Find me at http://facebook.com/hulkhogan Find me on YouTube at http://youtube.com/user/HulkHogan….
fabiocannavaro,Official Twitter of Fabio Cannavaro Instagram: fabiocannavaroofficial business@fabiocannavaro.it
michaeljackson,The Official Michael Jackson Twitter Page
vika7,Girl with big dreams
iPhone_News,The best iPhone news and notes from around the web.  Follow @iphoneinformers for more.
didierdrogba,Official Twitter for me & my Foundation - The Didier Drogba Foundation http://www.justgiving.com/didierdrogba
2K,"We publish @BioShock, @MafiaGame, @NBA2K, @WWEgames, @XCOM, @CivGame, @Borderlands, @Battleborn, @EvolveGame & more. HELP: @2KSupport. JOBS: @2KJobs"
LukeShaw23,@Adidas Footballer at @ManUtd and @england. Instagram - http://Instagram.com/lukeshaw23
NellyFurtado,.... ..... .......
JornalOGlobo,Acompanhe as notícias do jornal O GLOBO
Tatawerneck,Bonita mas nao de rosto. snap: tatawerneckreal
yelyahwilliams,former member of the official nsync fan club.......... current member of @paramore........................... Founder & CEO of @goodDYEyoung.
Bundesliga_EN,The #Bundesliga's official English channel. | http://bndsl.ga/imprint | http://instagram.com/bundesliga_en/ | German: @bundesliga_de | Español: @Bundesliga_ES
angelcandice,This is the official Candice Swanepoel twitter feed.
fernandinho,Instagram Fernandinho Facebook Fernandinho
MRodOfficial,Student Of Life
folha,"Perfil oficial do jornal Folha de S.Paulo.
No Facebook: http://on.fb.me/wFiUk9.
Atendimento: @folha_atende"
SeanKingston,IN GOD I Trust.. Music is the way of Life!! New Music At http://www.soundcloud.com/djtwinchi For Show Bookings: Contact jenmcdaniels@tmo.blackberry.net
Machinima,We are Machinima | Snapchat: http://bit.ly/2aX7dj2 | Run by @snackary_
GameStop,"Power to the Players. #GameStop -- For support, email us at Twitter@gamestop.com"
mikethemiz,The Real World star turned WWE Superstar. Married to the sexiest woman ever @Maryse0uellet Getting hated on daily and loving it. I'm awesome. Be Jealous!!!
LucasLeiva87,"Twitter Oficial de Lucas Leiva ( atleta de futebol)
Instagram: @leivalucas
Facebook: Lucas Leiva Official"
safety,Helping you stay safe on Twitter.
Nashgrier,Follow my Snapchat/Instagram/Facebook- NashGrier Subscribe to http://youtube.com/griernash for my videos! Life is a blessing!
adidasrunning,The official Twitter account of adidas Running
Konami,"Official account of Konami Digital Entertainment Inc!

http://www.twitch.tv/konami
http://www.twitch.tv/team/kcode"
LeTour,La plus grande course cycliste au monde. The world's biggest cycling race. #TDF2016
Meghan_Trainor,Meghan Trainor Epic Records Artist. Watch the new video for #MeToo here: http://smarturl.it/MeTooVideo THANK YOU is available now: http://smarturl.it/iTunes.ThankYou
SHOWTEK,Follow us on Snapchat ? http://bit.ly/ShowtekSnapchat - @skinkofficial
Naughty_Dog,"This is the official Twitter of Naughty Dog.
Uncharted 4: A Thief's End - ESRB Rating: TEEN with Blood , Language, Use of Alcohol and Tobacco, Violence."
dilmabr,"Twitter de Dilma Rousseff, presidenta do Brasil"
VinceMcMahon,"Vince McMahon, Chairman & CEO of WWE, Inc., is a third generation promoter who has made WWE into the global phenomenon it is today."
aaronpaul_8,
ultrarecords,#1 indie dance/electronic label in the US
ChloeGMoretz,live life to the fullest and never back down. Live.Laugh.Love xxxx
NathanKress,"I dabble. 
Num 6:26            http://instagram.com/nathankress https://www.facebook.com/officialnathankress"
GaryJCahill,Footballer for @chelseafc and England. @FA @adidasUK
VogueParis,Vogue Paris online
rockstarenergy,ROCKSTAR ENERGY DRINK is designed for those who lead active lifestyles – from athletes to rock stars. All inquiries at: http://rockstarenergy.com/company/contact
FabioPorchat,"Ator, roteirista e comediante brasileiro. falecomigo@fabioporchat.com.br"
SandervanDoorn,Producer | DJ | Label owner Doorn Records | My remix of Natural Blues is out now on Beatport! https://spinnindeep.lnk.to/NaturalBlues_SandervanDoornRemix
globoesportecom,"Se a bola soubesse o encanto que tem, não passaria a vida rolando de pé em pé' - Armando Nogueira"
bigtimerush,"Kendall Schmidt, Carlos PenaVega, James Maslow and Logan Henderson. Download our album 24/seven here: http://smarturl.it/24seven"
JakeTAustin,Snapchat: theejaketaustin   Email:jta.bookings@gmail.com
windowsblog,The official blog for Windows and Devices at Microsoft. This is an automated account.
iBooks,Find something good to read. No matter where you are.
TrueKofi,The rumors are true. I am Mr SKILLZ All Day. @UpUpDwnDwn's Mr 24/7 aka Mr Gatcho...as in: GATCHO ASS! I am the True Kofi Kingston. http://www.Instagram.com/TheTruekofi
KieranGibbs,Official account of @Arsenal FC player Kieran Gibbs. Representing #teamadidas for @adidasUK . http://www.kierangibbs.com
AMD,Official corporate news and updates about the AMD technology enabling today and inspiring tomorrow
CaroWozniacki,"Daughter, sister, friend, tennisplayer. Mother to our dog Bruno. 2014 NYC marathon runner. http://www.si.com/swimsuit/model/caroline-wozniacki/2016/body-paint"
Estadao,A versão on-line do jornal O Estado de S.Paulo. Acompanhe também as atualizações pelo Facebook: http://fb.com/estadao
officialcafu,The official Twitter account of Cafu // A conta do Twitter oficial do Cafu.
BlackSabbath,Purchase the '13' album here: http://iTunes.com/BlackSabbath
FifthHarmony,@LaurenJauregui @AllyBrooke @DinahJane97 @CamilaCabello97 @NormaniKordei est. 7/27
TheVampsband,New music coming soon. SOOO thankful for your support! http://po.st/VFSt @thevampsbrad @thevampscon @thevampsjames @thevampstristan
QueenWillRock,Official Queen Twitter
OriginInsider,"Official Origin Twitter account. For technical support, please follow @AskEASupport or visit http://help.ea.com."
AMDRadeon,AMD Radeon graphics cards (GPUs) provide the latest edge in PC gaming. Join the Radeon Rebellion! #BetterRed
iansomerhalder,Lucky husband.Proud founder of the Ian Somerhalder Foundation.Damon Salvatore on The Vampire Diaries.Happily contemplating the human existential dilemma...
DaniellaMonet,"candle freak. tea addict. life enthusiast. let's dance, eat kale, and laugh til' we cry // snapchat - daniemo"
RomarioOnze,Senador pelo Rio de Janeiro. Campeão Mundial de Futebol em 1994. /Brazilian Soccer Player. World Champion in 1994 US World CUP.
SonyPics_4Teens,"Bringing you exclusive content from your favorite @SonyPictures movies, music & TV shows! Including #HotelT2, #GoosebumpsMovie, #5thWaveMovie, and so much more!"
WWERomanReigns,
beckenbauer,"Some call me #kaiser. DFB, Bayern München, Cosmos New York, HSV - mhm, @CAMPBECKENBAUER"
Zoella,"YouTuber, Blogger, Friend & Pizza Addict"
CMPunk,Sociopathic straight edge atheist sweetheart with no Facebook account.
DavidHenrie,Check out the short film I directed at http://catchtheshortfilm.com. For other inquiries contact davidhenriebookings@gmail.com
tonyparker,Twitter officiel de Tony Parker - http://www.tp9.net
DFB_Team_EN,"Welcome to the official English #DieMannschaft account, bringing you news from the Germany national teams & the DFB! Deutsch: @DFB_Team | Español: @DFB_Team_ES"
TheSimpsons,OFFICIAL TWITTER FOR #TheSimpsons Returns for a new season September 25! Set a reminder here: http://fox.tv/1ObitRW SDCC rules: http://fox.tv/SimpsonsSDCC
MLS,The Official Twitter of Major League Soccer. MLS App Download: http://soc.cr/Z4PvI
marcoluque,Contato: livia@livproducoes.com.br
NDJ_Official,Football player for LA Galaxy and Holland - https://www.facebook.com/nigeldejongofficial - CEO of Continental Cars GmbH
OfficialWillow,Geometrodynamics
tyleroakley,I make lots of stuff on the Internet. Videos: http://youtube.com/tyleroakley Podcast: http://itunes.com/psychobabble Book: http://www.amazon.com/dp/1501117696
adidasHoops,The official page of adidas Basketball.
paulinhop8,Website: http://paulinho8.com.br Contato: eduardo@adie.com.br
meganfox,Lover. Healer. Mother
JPGaultier,Welcome on the Twitter of the Enfant Terrible of Fashion.
lequipe,Toute l'actualité sportive en temps réel.
TiagoLeifert,Membro vitalício da Associação Brasileira de Interpretação de Texto
bonucci_leo19,Profilo twitter ufficiale di Leonardo Bonucci Juventus Football Player http://www.leonardobonucci.it
knifepartyinc,"Seizure music / haunted house / spooky roller-disco
http://smarturl.it/iTriggerWarning"
