screen_name,name,description,,,,,,,,,,,,,
natgeowild,Nat Geo WILD,Nat Geo WILD is a network all about animals & nature from National Geographic.,,,,,,,,,,,,,
SunnyLeone,Sunny Leone,Only GOD will Judge! life is short lets make the most of it! ONLY Official Page *snapchat ID- ImSunnyLeone,,,,,,,,,,,,,
NSaina,Saina Nehwal,#Olympics Bronze medallist 2012 #World championships silver medal 2015 #Padma Bhushan awardee #Padma shri awardee #khel Ratna awardee #Arjuna awardee,,,,,,,,,,,,,
ChennaiIPL,Chennai Super Kings,The Official Tweet of the Chennai Super Kings,,,,,,,,,,,,,
konkonas,Konkona Sensharma,Indian actress. Reckless retweeter.,,,,,,,,,,,,,
faf1307,Faf Du Plessis,"*Jesus follower *Husband *Pro cricketer *Co owner of Bjorn Borg SA , FirstXI Wines and Quest Gym",,,,,,,,,,,,,
adwords,Google AdWords,The official channel for info & updates from the Google AdWords team. We’re here to help 24 hours a day Monday - Friday. Meet the team: https://goo.gl/3NpP8G,,,,,,,,,,,,,
MikaSingh,King Mika Singh,"Bollywood Singer and Actor, Animal Lover, Entrepreneur, Philanthropist #KingsJungle #DivineTouchFoundation #RhythmByMika",,,,,,,,,,,,,
abpnewstv,ABP News,Follow for latest news alerts from India,,,,,,,,,,,,,
Total,Total,"Welcome to Total's page, one of the world's leading energy companies. Share with us our commitment to better energy in oil, natural gas and solar energy.",,,,,,,,,,,,,
VishalDadlani,VISHAL DADLANI,"For too long, you and I've been quiet..RISE UP!",,,,,,,,,,,,,
androids,Android Community,"Android Community, news, reviews, & rumors. Execs: @nguyen @ewdi & @c_davies",,,,,,,,,,,,,
sakpataudi,Tejinder Kaur/Soha,Actor,,,,,,,,,,,,,
jpduminy21,JP Duminy,"Christian, Husband, Father, Cricketer- founder of @JP21Project, Somewhere on tour..",,,,,,,,,,,,,
MSLearning,Microsoft Learning,Follow us for all things related to Microsoft certification and learning resources. Master Microsoft technologies and upgrade your career today. #CertifyMe,,,,,,,,,,,,,
SingaporeAir,Singapore Airlines,"Welcome aboard Singapore Airlines on Twitter! Tell us your travel stories and tips with #FlySQ #SingaporeAir. For feedback, write to http://goo.gl/ZDDIKS",,,,,,,,,,,,,
TandonRaveena,Raveena Tandon,retweets not an endorsement,,,,,,,,,,,,,
BJP4India,BJP,Official Twitter account of the Bharatiya Janata Party (BJP).,,,,,,,,,,,,,
googlecalendar,Google Calendar,The official Twitter home of Google Calendar,,,,,,,,,,,,,
wasimakramlive,Wasim Akram,"Pakistan's former Cricket Captain, Commentator at Star Sports, Bowling coach & mentor at KKR, for Business & PR contact my Manager @arsalanhshah",,,,,,,,,,,,,
SrideviBKapoor,SRIDEVI BONEY KAPOOR,Actor-Mother-Housewife-Actor Again!,,,,,,,,,,,,,
AmitShah,Amit Shah,National President of Bharatiya Janata Party,,,,,,,,,,,,,
Oracle,Oracle,"Stay connected with all things #Oracle: products, services, training, news, events, promotions, and more.",,,,,,,,,,,,,
amlahash,hashim amla,Dig for truth..not gold. Curiosity skilled the cat. Beards are the new six pack. No facebook - No instagram,,,,,,,,,,,,,
Gmaxi_32,Glenn Maxwell,@CricketAus @bushrangers @StarsBBL @lionsdenkxip @yorkshireccc player. Sponsored by @KookaburraCkt Instagram: gmaxi_32,,,,,,,,,,,,,
tamannaahspeaks,Tamannaah Bhatia,Dreamer .. Following my Heart !,,,,,,,,,,,,,
wa_status,WhatsApp Status,We are working very hard to make this twitter account irrelevant.,,,,,,,,,,,,,
RashtrapatiBhvn,President of India,This is the official Twitter account of Rashtrapati Bhavan and is run by President’s Secretariat.  Tweets from the President are signed – President Mukherjee,,,,,,,,,,,,,
NASAEarth,NASA Earth,"Your planet is changing, and we’re on it. NASA uses the vantage point of space to increase our understanding of Earth and improve lives. #EarthRightNow",,,,,,,,,,,,,
AdSense,Google AdSense,News and updates from the Google AdSense team. Have questions? Visit http://goo.gl/LjpsZv for help.,,,,,,,,,,,,,
NeilNMukesh,Neil Nitin Mukesh,"Actor, photographer. Singer, composer !",,,,,,,,,,,,,
mornemorkel65,Morne Morkel,Proudly @OfficialCSA & @KKRiders,,,,,,,,,,,,,
yrf,Yash Raj Films,Re-live the magic of Yash Raj Films (YRF).,,,,,,,,,,,,,
ActorMadhavan,Ranganathan Madhavan,"Actor-Love being one-Have lived a 100 lives within this one,thanks to the job-Made films-Some that you liked and yet others I indulged in-Blessed and fortunate.",,,,,,,,,,,,,
albiemorkel,Albie Morkel,love your family and enjoy life... it's short!,,,,,,,,,,,,,
Swamy39,Subramanian Swamy,"Rajya Sabha MP, Fmr. Union Cabinet Minister, Harvard Ph.D in Economics; Professor, BJP National Exec. member, I give as good as I get",,,,,,,,,,,,,
iamAmyJackson,Amy Jackson,info@blacksheepmgt.com,,,,,,,,,,,,,
singer_shaan,shaan,living the Good Life... and believing my luck won't run out...:),,,,,,,,,,,,,
ZoomTV,Zoom TV,Turn On Gossip. Turn On Glamour. Turn On Fashion. Turn On Party. Turn On Bollywood #TurnOnZoom,,,,,,,,,,,,,
VisualStudio,Visual Studio,Follow us for the latest Microsoft Visual Studio news and related information for developers.,,,,,,,,,,,,,
AzmiShabana,Azmi Shabana,Actor- female. Believes art should be used as an instrument for social change,,,,,,,,,,,,,
bmwindia,BMW India,"This is the official Twitter account of BMW India - set up for enthusiasts, fans and owners of BMW Cars. Follow us for the latest news and information.",,,,,,,,,,,,,
lufthansa,Lufthansa,Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!,,,,,,,,,,,,,
nowthisnews,NowThis,"See it first, share it first.",,,,,,,,,,,,,
StarSportsIndia,Star Sports,"Look no further if sports is your forte, head no further if you want to watch your favorite sport! Likes and RTs are not endorsements.",,,,,,,,,,,,,
shekharkapur,Shekhar Kapur,Neither prejudiced by the past nor in fear of the future. This moment. Only this moment  http://www.shekharkapur.com,,,,,,,,,,,,,
androidandme,Android and Me,Meet your new Android friend.,,,,,,,,,,,,,
googlestudents,Google Students,Google news and updates (especially for university students).,,,,,,,,,,,,,
udaychopra,Uday Chopra,Pretender. Believer of unbelief. Religion starter. Zombie lover. Food eater. Women whisperer. Liar of that last part.,,,,,,,,,,,,,
GulPanag,Gul Panag,"aviator, actor & producer, entrepreneur,  automobile & fitness enthusiast, biker, adrenalin junkie, adventurer, traveller, student, #AAP",,,,,,,,,,,,,
RCBTweets,Royal Challengers,The official Twitter account of IPL Team Royal Challengers Bangalore. https://www.facebook.com/RoyalChallengersBangalore,,,,,,,,,,,,,
hcltech,HCL Technologies,"Official Twitter stream of HCL Technologies | $7 Bn company | G2000 Organization | 109,000+ employees | 31 countries | http://www.hcltech.com/unitedbyhcl",,,,,,,,,,,,,
Minissha_Lamba,Minissha Lamba,"Actor, Humanist, no longer a Food-Junkie, ArmChair Philosopher",,,,,,,,,,,,,
ajinkyarahane88,ajinkyarahane88,cricketer,,,,,,,,,,,,,
lifeatgoogle,Life at Google,"Want to be a Googler? We're hiring! Keep up with our job opportunities, offices, culture, and everything else that makes up life at Google.",,,,,,,,,,,,,
emraanhashmi,emraan hashmi,Actor,,,,,,,,,,,,,
aajtak,?? ??,"AajTak covers breaking news, latest news, news in politics, sports, business and cinema. Follow us for the latest in news and views.",,,,,,,,,,,,,
jaysean,Jay Sean,Jay Sean. Singer/Songwriter. Sony Music.,,,,,,,,,,,,,
MicrosoftHelps,Microsoft Support,Official account for Microsoft Customer Service & Support. We’re available 24/7,,,,,,,,,,,,,
APJAbdulKalam,Kalam Project,"Dedicated to actions by citizens&institutions,along the vision of Dr.Kalam. Account manged by Kalam Centre.Write to ceo@kalamcentre.org to be showcased",,,,,,,,,,,,,
PriyaAnand,Priya Anand,Pan Indian Actor,,,,,,,,,,,,,
taran_adarsh,taran adarsh,Hindi movie critic and biz analyst. Bollywood Hungama. Instagram: http://bit.ly/20KBsgr,,,,,,,,,,,,,
mipaltan,Mumbai Indians,"The official Twitter handle of IPL Franchise Mumbai Indians. Follow us on Instagram: http://bit.ly/1pKeftM
Follow us on Snapchat: MI_Paltan",,,,,,,,,,,,,
kalkikanmani,Kalki Koechlin,"This one time abroad I didn't have ID to get into a bar so I told the bouncer 'Google me, I'm famous.' The rest of the time though, I don't feel that important.",,,,,,,,,,,,,
IChitrangda,Chitrangda Singh,contact: Chitrangda.info@gmail.com,,,,,,,,,,,,,
anirudhofficial,Anirudh Ravichander,Youngest Music Composer/Singer in the Indian Film Industry | Snapchat : anirudhofficial,,,,,,,,,,,,,
CelinaJaitly,Celina Jaitly,"Indian actor & recording artist,UN Human Rights Equality Champion,Activist,Writer,Proud mum of twin boys.Dog lover,book lover & most of all an Army brat!",,,,,,,,,,,,,
ManishMalhotra,Manish Malhotra,"Stylist,Costume Designer, Couturier and Fashion Designer.",,,,,,,,,,,,,
RGVzoomin,Ram Gopal Varma,Indian Film Director & Producer,,,,,,,,,,,,,
glennmcgrath11,Glenn McGrath,"Proud father, happy husband, retired cricketer, philanthropist, outdoorsman & loving life :) McGrath Foundation President & Co-Founder",,,,,,,,,,,,,
KKRiders,KolkataKnightRiders,Official Handle of the IPL team of Kolkata! #KorboLorboJeetbo http://www.facebook.com/KolkataKnightRiders http://www.instagram.com/kkriders,,,,,,,,,,,,,
arbaazSkhan,Arbaaz Khan,Actor/Producer/Director,,,,,,,,,,,,,
ImranKhanPTI,Imran Khan,Chairman of Pakistan Tehreek-e-Insaf,,,,,,,,,,,,,
taapsee,taapsee pannu,"all in all REAL.... with flesh, blood and SPINE :)",,,,,,,,,,,,,
DavidMillerSA12,David Miller,"Proteas cricket, sunfoil dolphins and kings XI Punjab. Living my dream.!",,,,,,,,,,,,,
StuartBroad8,Stuart Broad,Notts and England cricketer. 4x Ashes winner. Raise awareness and funds for MND @thebroadappeal,,,,,,,,,,,,,
DJBravo47,Dwayne DJ Bravo,"West Indies All-Rounder. Captain of 2015 CPL Champions,Red Steel. ESPY 2015 Best Play Nominee. Musician/Entertainer. Agent @venusentgroup Media @peartreeconsult",,,,,,,,,,,,,
github,GitHub,How people build software,,,,,,,,,,,,,
darrensammy88,Daren Sammy,"Daren Sammy Foundation 
Developing Future Champions, Future Leaders
Represented by @insignia_sports Instagram: darensammy88",,,,,,,,,,,,,
GoogleAppsDev,Google Apps Dev,Official Google Apps Developer feed.,,,,,,,,,,,,,
AamAadmiParty,Aam Aadmi Party- AAP,?????????? ????? ???? ????? ???? ???? ????? ????? ?? ? ?? ????? ? http://fb.com/AamAadmiParty,,,,,,,,,,,,,
Sophie_Choudry,SOPHIE CHOUDRY,"Singer, VJ, Actor, Entertainer, Dreamer, Dancer, Fashion Lover! Good things come to those who work their asses off & never give up!",,,,,,,,,,,,,
MercedesBenzInd,Mercedes-Benz India,The Official Mercedes-Benz India Twitter Profile. Follow us on Periscope: http://www.periscope.tv/MercedesBenzInd,,,,,,,,,,,,,
SonuSood,sonu sood,An engineer turned actor from Moga(punjab).Destiny plays its part...Instagram: sonu_sood,,,,,,,,,,,,,
prakashraaj,Prakash Raj,let's give back to life' Fb : http://www.facebook.com/PrakashRajOfficial,,,,,,,,,,,,,
stevesmith49,Steve Smith,Australian cricket player,,,,,,,,,,,,,
AndroidPolice,Android Police,"We cover Android news, apps and games, phones and tablets. Sometimes we rant. Got a hot tip? tips@androidpolice.com.",,,,,,,,,,,,,
isro,ISRO,Indian Space Research Organisation,,,,,,,,,,,,,
irrfank,Irrfan Madaari,Actor . India.,,,,,,,,,,,,,
ImIshant,Ishant Sharma,"Foodie, tidy and happy-go-lucky. Indian National Cricketer.",,,,,,,,,,,,,
RossLTaylor,Ross Taylor,Current @BLACKCAPS player.,,,,,,,,,,,,,
gov,Twitter Government,Updates from the @Twitter Government & Elections team. Tracking creative & effective uses of Twitter for civic engagement. RT & examples?political endorsements.,,,,,,,,,,,,,
mrsfunnybones,Twinkle Khanna,A bona fide member of an ambiguous tribe of the new age Indian woman; heavily armed with the weapons of my choice : google and lame jokes.,,,,,,,,,,,,,
ZeeNews,Zee News,10 Channels I India’s Largest News Network I 140 mn viewers I  Breaking News alert from India & world. Download Zee Media Apps - https://play.google.com/store/apps/developer?id=Zee+Media+Corporation+Limited,,,,,,,,,,,,,
Shankar_Live,Shankar Mahadevan,"Comp Engineer turned Music Composer/Singer/ Performer, loving every bit of it.....",,,,,,,,,,,,,
ColorsTV,COLORS,Follow us to receive latest updates about your favourite shows & favourite stars!,,,,,,,,,,,,,
ARMurugadoss,A.R.Murugadoss,Film maker,,,,,,,,,,,,,
IntelITCenter,Intel IT Center,"IT best practices, strategies & tools from IT experts at Intel. More @ http://www.intel.com/ITCenter and join our community http://www.intel.com/ITPN #ITCenter",,,,,,,,,,,,,
SamsungNewsroom,Samsung Electronics,"The official Twitter of Samsung Electronics. Follow us for the latest news on our people, products, services and insights.",,,,,,,,,,,,,
TwitterEng,Twitter Engineering,The official account for Twitter Engineering.,,,,,,,,,,,,,
dna,dna,"Follow us for news, photos, videos and the latest trends from India and around the world. http://www.dnaindia.com",,,,,,,,,,,,,
SamsungMobileIN,Samsung Mobile India,Welcome to the Official Samsung Mobile India page where you can follow us to engage with other Samsung fans and get the latest info on products and more.,,,,,,,,,,,,,
anupamachopra,Anupama Chopra,"Film Critic, journalist, author. Founder and editor of @Filmcompanion. You can find my reviews, interviews and recommendations on http://bit.ly/FilmCompanionY…",,,,,,,,,,,,,
jimmy9,James Anderson,,,,,,,,,,,,,,
RanaDaggubati,Rana Daggubati,"Actor, Producer, Digital Post Supervisor",,,,,,,,,,,,,
AllIndiaBakchod,All India Bakchod,"Trying to make people laugh on Youtube, Podcasts & Live. Co founders: @gkhamba @thetanmay. Follow us on instagram @AllIndiaBakchod",,,,,,,,,,,,,
DianaPenty,HAPPY,,,,,,,,,,,,,,
manoharparrikar,Manohar Parrikar,"Minister of Defence, Government of India",,,,,,,,,,,,,
MitchJohnson398,Mitchell Johnson,Instagram: MITCHJOHNSON398,,,,,,,,,,,,,
AaronFinch5,Aaron Finch,"Australian, Melbourne renegades & Victorian cricketer! @NewBalanceAU athlete
Lover of golf
Insta: @aaronfinch5
FB: http://Facebook.com/AaronFinchCric…",,,,,,,,,,,,,
TwitterAds,Twitter Advertising,"#GoLive with the official handle for Twitter Ads with news, research, tips, success stories, and creative inspiration. Here to help!",,,,,,,,,,,,,
windowscentral,Windows Central,"Windows is back! The #1 news, reviews and community site covering all things Microsoft & Windows 10. Full feed https://twitter.com/wc_headlines",,,,,,,,,,,,,
airfrance,Air France,#FranceisintheAir! Stay connected for our latest news! At your service 24/7 (Personal info by DM only),,,,,,,,,,,,,
Fact,Fact,Interesting facts about the world we live in. Facebook: https://www.facebook.com/OfficialFacts / Enquiries: tweetingfacts@gmail.com,,,,,,,,,,,,,
snapdeal,Snapdeal,"Snapdeal is India's largest online marketplace, featuring a wide assortment of products across categories with over 60 million members.",,,,,,,,,,,,,
ssrajamouli,rajamouli ss,film director,,,,,,,,,,,,,
ItsPrachiDesai,Prachi Desai,OCD - Obsessive Coffee Disorder ?? Cupcake Monster .. Cat stalker!,,,,,,,,,,,,,
chinaorgcn,China.org.cn,China's national online news service,,,,,,,,,,,,,
RailMinIndia,Ministry of Railways,"Official Account of the Ministry of Railways, Government of India.",,,,,,,,,,,,,
firstpost,Firstpost,http://Firstpost.com will track news in India and the world and provide a perspective that is reflective of a changing dynamic.,,,,,,,,,,,,,
IBM,IBM,"Official IBM Twitter account. Managed by Brittany Detamore, Edwin Betts and Katie Keating. Follows the IBM Social Computing Guidelines.",,,,,,,,,,,,,
aditiraohydari,Aditi Rao Hydari,"Dance like the wind, Sing like the rain, Love like the ocean, Kick Butt like a BAWSE!",,,,,,,,,,,,,
urstrulyMahesh,Mahesh Babu,Actor in Indian Telugu Cinema,,,,,,,,,,,,,
AmritaRao,AMRITA RAO,"MONDAY To FRIDAY 8PM on - &TV
                  ( MERI AAWAZ HI PEHCHAN HAI ) - FINITE Fiction Show",,,,,,,,,,,,,
ThatsEarth,Earth Pics,Breathtaking pictures from around the world!,,,,,,,,,,,,,
gilly381,Adam Gilchrist,"Perth, Australia, http://instagram.com/gilly381",,,,,,,,,,,,,
MSFTResearch,Microsoft Research,"Founded in 1991, Microsoft Research is dedicated to conducting both basic and applied research in computer science and software engineering.",,,,,,,,,,,,,
ash_r_dhanush,Aishwaryaa.R.Dhanush,....this is the real me ...,,,,,,,,,,,,,
IntelEDU,Intel Education,Helping educators transform education around the globe.,,,,,,,,,,,,,
amazonIN,Amazon.in,The official Twitter feed of http://www.amazon.in,,,,,,,,,,,,,
mandybedi,mandira bedi,"shanti, ashanti, actor, anchor, foodie, exercise junkie, saree designer, believer.. Blessed!",,,,,,,,,,,,,
Accenture,Accenture,"Follow us for updates on Accenture research, blogs, podcasts and more. Tweets by the Accenture Twitter Team.",,,,,,,,,,,,,
ch9,Microsoft Channel 9,Channel 9 keeps you up to date with videos from people behind the scenes building products at Microsoft.,,,,,,,,,,,,,
limkokwing,Limkokwing,Founder and President of Limkokwing University of Creative Technology   Asia . Africa . Europe,,,,,,,,,,,,,
JimCameron,James Cameron,,,,,,,,,,,,,,
cctvnews,CCTVNEWS,"Official account for CCTV NEWS, the English news channel of China Central Television (CCTV).",,,,,,,,,,,,,
AudiIN,Audi India,Official Audi India Twitter account. Follow us to get the latest official news and updates from Audi India.,,,,,,,,,,,,,
wto,WTO,The World Trade Organization deals with the global rules of trade between nations. Also follow @WTODGAZEVEDO,,,,,,,,,,,,,
sanjaymanjrekar,Sanjay Manjrekar,"Longer career talking cricket than playing cricket, shows which is easier. Business Manager: Rajiv Kumar - 9rajivkumar@gmail.com",,,,,,,,,,,,,
rahulkanwal,Rahul Kanwal,"Managing Editor @IndiaToday @Aajtak Anchor Newsroom, Seedhi Baat Our Newsroom goes where the news is. Fiercely non-aligned. Ideologically agnostic.",,,,,,,,,,,,,
Siva_Kartikeyan,Sivakarthikeyan,Actor in Tamil Film Industry,,,,,,,,,,,,,
BajpayeeManoj,Manoj Bajpayee,Actor  india,,,,,,,,,,,,,
OfficialCSA,Cricket South Africa,The official Cricket South Africa Twitter profile. CSA are the custodians of cricket in South Africa. Facebook: http://www.facebook.com/CricketSouthAfrica,,,,,,,,,,,,,
Limkokwing_MY,Limkokwing Uni,Officially recognised as Malaysia's University of Innovation and Transformation. Follow us for breaking news and updates.,,,,,,,,,,,,,
Wipro,Wipro,"Official Wipro account- Global leader in Consulting, Technology, Outsourcing | $7.6 Bn  company (NYSE:WIT) | 170,000+ employees | Presence in 175 cities",,,,,,,,,,,,,
Qantas,Qantas,"The official Qantas Twitter page to share information & get feedback. We’re online 24 hours a day, 7 days a week.",,,,,,,,,,,,,
BoschGlobal,BoschGlobal,Bosch is a leading global supplier of technology & services. We tweet about global topics like #mobility #energy  #connectivity. Imprint http://on.fb.me/tls8gj,,,,,,,,,,,,,
chintskap,Rishi Kapoor,Son of a famous Father-Father of a famous Son.I am the hyphen in between them /Anti National or abusers will be blocked.,,,,,,,,,,,,,
kritisanon,Kriti Sanon,Actor,,,,,,,,,,,,,
googletalks,Talks at Google,"The Talks at Google Program hosts innovators, world leaders, authors and more from around the world. We broadcast the talks on http://youtube.com/talksatgoogle",,,,,,,,,,,,,
MichaelVaughan,Michael Vaughan,Manchester born sheffield lad. Ex England cricket skipper.Wednesday supporter and very keen golfer.. Intagram... MVaughan40,,,,,,,,,,,,,
LalitKModi,Lalit Kumar Modi,"Worker @ http://Fightcorruption.org, Founder and architect @IPL Indian Premier League & @CLT20, President RCA, President Modi Enterprises http://www.modi.com",,,,,,,,,,,,,
BrianLara,Brian Lara,"Trini, father to 2 girls Sydney & Tyla. 
Sport & Tourism Ambassador. 
Love the square drive. 
Former cricketer now golfer 5 handicap 
Instagram: @bcl375400",,,,,,,,,,,,,
vwpress_en,Volkswagen News,"Official account of Volkswagen (brand) delivering news for press, media and influencers. (Deutsch: @vwpress_de) Imprint: http://vwgroup.to/K5Tqi",,,,,,,,,,,,,
drharshvardhan,Dr. Harsh Vardhan,"Union Minister of Science & Technology, Earth Sciences - Government of India, ENT Surgeon, Ex. Advisor - World Health Organization (WHO)",,,,,,,,,,,,,
ShaneRWatson33,Shane Watson,"Proud Dad, T20 Nomad and Wanna Be Rocker",,,,,,,,,,,,,
duttsanjay,Sanjay Dutt,"Actor, Producer and Co Founder Chairman of Super Fight League (SFL) India's First Professional MMA League.",,,,,,,,,,,,,
abdullah_omar,Omar Abdullah,"Former CM of J&K; MLA from Beerwah, Budgam (the gateway to Gulmarg). Tweets reflect my POV & not always my party's. Retweets just mean something interested me.",,,,,,,,,,,,,
priyamani6,priyamani,Actor...animal-o-holic....keep supporting me..,,,,,,,,,,,,,
HMOIndia,HMO India,Office of the Home Minister of India,,,,,,,,,,,,,
RandeepHooda,Randeep Hooda,"Actor, Equestrian Sportsman and the proud owner of @royal_roosters polo team and Gurgaon Polo And Equestrian Club",,,,,,,,,,,,,
rsprasad,Ravi Shankar Prasad,"Law & Justice, Information Technology Minister of India

#DigitalIndia",,,,,,,,,,,,,
JamesFaulkner44,James Faulkner,The Official Twitter page of: @CricketAus @Crickettas @StarsBBL @TheGujaratLions and @LancsCCC player. Bat @Gray_Nicolls. Footwear @ASICSaustralia.,,,,,,,,,,,,,
soundaryaarajni,soundarya rajnikanth,The Official Handle of Soundarya Rajinikanth,,,,,,,,,,,,,
salim_merchant,salim merchant,"INDIAN, Parent, musician ,composer, producer, singer, indian idol judge, dreamer...",,,,,,,,,,,,,
lionsdenkxip,Kings XI Punjab,"Official Twitter handle of Kings XI Punjab! 

Find us on FB @ http://fb.com/KingsXIPunjab & Instagram at http://instagram.com/kxipofficial!",,,,,,,,,,,,,
geniebouchard,Genie Bouchard,Tennis player - Snap: genieebouchard - Contact: colin@prp-lv.com,,,,,,,,,,,,,
y_umesh,Umesh Yaadav,Indian Cricketer,,,,,,,,,,,,,
VVSLaxman281,VVS Laxman,"Ex-International Cricketer, Mentor @SunRisers",,,,,,,,,,,,,
imjadeja,Ravindrasinh jadeja,"Indian cricketer, RAJPUT,",,,,,,,,,,,,,
sundarpichai,sundarpichai,"CEO, @google",,,,,,,,,,,,,
FlyAirNZ,Air New Zealand??,The official Air New Zealand Twitter account ? We're listening 24/7. Please call 0800 737 000 for immediate assistance.,,,,,,,,,,,,,
BlackBerryHelp,BlackBerryHelp,"Official Twitter support account of BlackBerry.
We offer DM support. Follow us and send us a message.  We're staffed from Monday to Saturday.",,,,,,,,,,,,,
markb46,mark boucher,Ex sportsman.Love wildlife.Fighting poachers.Judge a person on how they treat animals!,,,,,,,,,,,,,
DabbooRatnani,DABBOO RATNANI,Celebrity & Fashion Photographer,,,,,,,,,,,,,
DavidHussey29,David Hussey,The Official Account of @StarsBBL @Bushrangers cricketer David Hussey. ambassador for @kidneyhealth and @walktoschoolvic,,,,,,,,,,,,,
KajolAtUN,Kajol,Indian Actor. Padma Shri Awardee. Hand washing champion and #HelpAChildReach5 ambassador. Account is managed by Kajol and the #HelpAchildReach5 team.,,,,,,,,,,,,,
mstarc56,Mitch Starc,"NSW, Sydney Sixers, Bangalore Royal Challenger and Australian cricketer... Chocolate and ice cream get me every time..",,,,,,,,,,,,,
sidmallya,Sid Mallya,Future Legend and terrible speller,,,,,,,,,,,,,
narainracing,Narain Karthikeyan,,,,,,,,,,,,,,
CFAinstitute,CFA Institute,Shaping the investment industry for the greater good.,,,,,,,,,,,,,
ChouhanShivraj,ShivrajSingh Chouhan,"Chief Minister of Madhya Pradesh, India",,,,,,,,,,,,,
Suriya_offl,Suriya Sivakumar,Actor,,,,,,,,,,,,,
menongautham,Gauthamvasudevmenon,Engineering films,,,,,,,,,,,,,
jimmysheirgill,Jimmy sheirgill,Actor Producer,,,,,,,,,,,,,
msftsecurity,Microsoft Secure,"The official Twitter handle for the Microsoft Secure team. Follow for news, updates, and much more. #MSSecure",,,,,,,,,,,,,
AliZafarsays,Ali Zafar,Un artiste,,,,,,,,,,,,,
staralliance,Star Alliance,"The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.",,,,,,,,,,,,,
googlewmc,Google Webmasters,News and resources from Google to help webmasters make great sites.,,,,,,,,,,,,,
TheOfficialSBI,State Bank of India,"Welcome to the official channel of SBI. Join us for daily updates on our products, services, initiatives & helpful tips from our experts.",,,,,,,,,,,,,
opera,Opera,"We make apps that help you do more online. Join our community to see tips, news and behind-the-scenes.",,,,,,,,,,,,,
ChromiumDev,Chrome Developers,News for developers from the Google Chrome Developer Relations team.,,,,,,,,,,,,,
BBM,BBM,"BBM is for active, real conversations.  It’s free, instant and always connected. Your messages are delivered and read in seconds. You trust it. You control it.",,,,,,,,,,,,,
Amala_ams,Amala Paul,Actor...Seeker...Explorer..Achiever,,,,,,,,,,,,,
RahulBose1,Rahul Bose,"Director, @poornathefilm (releases 2016). Actor. India Rugby player (1998-2009). Oxfam Global Ambassador. Founder, The Foundation. http://www.thefoundation.in",,,,,,,,,,,,,
KumarSanga2,Kumar Sangakkara,has been cricketer still plodding along Instagram sangalefthander,,,,,,,,,,,,,
imbhandarkar,Madhur Bhandarkar,"A film buff & ex video-cassette delivery boy who dreamt of becoming a filmmaker. Currently living my dream! Filmmaker, India",,,,,,,,,,,,,
nsitharaman,Nirmala Sitharaman,"Union Minister of State, Commerce & Industry (I/C), GoI, MP (RS) representing Karnataka, Formerly BJP Natl Spokesperson. Views personal, RTs no endorsement.",,,,,,,,,,,,,
iam_str,STR,"i am just an actor , god is my director !!!",,,,,,,,,,,,,
LoveQuotes,Love Quotes,IG: http://Love.Post FB: LoveQuotesTwitter. [[Business: LoveQuotesTwitter@gmail.com]],,,,,,,,,,,,,
shankarshanmugh,Shankar Shanmugham,"Director, Producer, Story and Screenplay writer.",,,,,,,,,,,,,
AndroidAuth,Android Authority,http://AndroidAuthority.com - A website dedicated to bringing you the inside scoop on the world of Android!,,,,,,,,,,,,,
vwgroup_en,Volkswagen Group,"Official account of Volkswagen Group delivering news for press, media and influencers. (Deutsch: @vwgroup_de) Imprint: http://vwgroup.to/K5Tqi",,,,,,,,,,,,,
vp_offl,venkat prabhu,film maker & a die hard fan of team india & team csk,,,,,,,,,,,,,
TCS,TCS,"Official Twitter Channel of Tata Consultancy Services (TCS), a World-leading IT Services, Business Solutions and Consulting company, part of the Tata Group.",,,,,,,,,,,,,
DineshKarthik,DK,"CRICKETER 

@tuti_patriots  @gujaratlions  #BCCI 

Proud Indian and a car lover.",,,,,,,,,,,,,
SamsungCamera,Samsung Camera,What have you captured on your Samsung SMART CAMERA today? Share your moments with us!,,,,,,,,,,,,,
CiscoSecurity,Cisco Security,"Cisco provides unmatched visibility, continuous control & advanced threat protection across the entire attack continuum – before, during, and after an attack.",,,,,,,,,,,,,
Swannyg66,Graeme Swann,"cricketer, documentary maker, lead singer, worldwide trend leader in hairstyles for men who look fifteen years younger than they actually are.",,,,,,,,,,,,,
nitin_gadkari,Nitin Gadkari,Union Minister of Road Transport & Highways and Shipping,,,,,,,,,,,,,
jaavedjaaferi,Jaaved Jaaferi,"Biodegradable Entertainer. 
Actor, producer, director, stand up comedian, choreographer, voice artist, occasional pessimist, frequent optimist. Aam Aadmi",,,,,,,,,,,,,
iamnagarjuna,Nagarjuna Akkineni,film actor,,,,,,,,,,,,,
MissMalini,MissMalini,"Bollywood, Fashion & Lifestyle Blogger. Social Media Jedi. Left-handed. Gemini. #LOVE #FOMO He who controls the spice controls the universe! (@maliniagarwal)",,,,,,,,,,,,,
iamlakshmirai,RAAI LAXMI,"Actor n proud to be part of indian cinema! Hard work is my lifestyle n cinema is in my blood! Follow me on:-www.facebook.com/iamlakshmirai ,Insta:- iamraailaxmi",,,,,,,,,,,,,
rajasthanroyals,Rajasthan Royals,The Official Twitter Handle of Rajasthan Royals #AlwaysARoyal,,,,,,,,,,,,,
